longitude,latitude,study_id,site_id,refYear
-6.12123,36.295278,JdA,9603,2019
-6.093886,36.284788,JdA,9604,2019
-5.290104,36.282893,JdA,9605,2019
-5.271628,36.293098,JdA,9606,2019
-6.149142,36.315859,JdA,9607,2019
-6.127931,36.311356,JdA,9608,2019
-5.260977,36.315749,JdA,9609,2019
-5.242333,36.324905,JdA,9610,2019
-6.173353,36.355659,JdA,9611,2019
-6.155097,36.342668,JdA,9612,2019
-5.238021,36.345226,JdA,9613,2019
-6.205194,36.384291,JdA,9614,2019
-6.184297,36.377083,JdA,9615,2019
-5.231147,36.373366,JdA,9616,2019
-5.210536,36.384333,JdA,9617,2019
-6.21132,36.403035,JdA,9618,2019
-5.200747,36.404291,JdA,9619,2019
-5.172863,36.414417,JdA,9620,2019
-6.236963,36.442503,JdA,9621,2019
-6.217031,36.432087,JdA,9622,2019
-5.167946,36.431346,JdA,9623,2019
-5.139284,36.435329,JdA,9624,2019
-5.111444,36.440043,JdA,9625,2019
-5.091051,36.44533,JdA,9626,2019
-6.244552,36.458361,JdA,9627,2019
-6.216266,36.4586,JdA,9628,2019
-5.078463,36.462784,JdA,9629,2019
-5.049273,36.465394,JdA,9630,2019
-5.017722,36.468375,JdA,9631,2019
-4.994853,36.471301,JdA,9632,2019
-6.268678,36.497517,JdA,9633,2019
-6.258326,36.492449,JdA,9634,2019
-6.210335,36.482017,JdA,9635,2019
-6.184501,36.489007,JdA,9636,2019
-4.988054,36.491463,JdA,9637,2019
-4.959509,36.495353,JdA,9638,2019
-4.931504,36.502572,JdA,9639,2019
-4.901803,36.50601,JdA,9640,2019
-4.875832,36.506274,JdA,9641,2019
-4.833331,36.504135,JdA,9642,2019
-4.80632,36.501274,JdA,9643,2019
-4.776958,36.49816,JdA,9644,2019
-4.747948,36.496325,JdA,9645,2019
-4.718434,36.497214,JdA,9646,2019
-4.69185,36.499973,JdA,9647,2019
-4.669132,36.505548,JdA,9648,2019
-6.301408,36.531575,JdA,9649,2019
-6.280743,36.520184,JdA,9650,2019
-6.241897,36.51881,JdA,9651,2019
-6.218627,36.522631,JdA,9652,2019
-6.186956,36.527791,JdA,9653,2019
-6.157941,36.521344,JdA,9654,2019
-4.867965,36.521388,JdA,9655,2019
-4.657997,36.521438,JdA,9656,2019
-4.634831,36.524943,JdA,9657,2019
-6.295919,36.537032,JdA,9658,2019
-6.290779,36.537692,JdA,9659,2019
-6.215269,36.55061,JdA,9660,2019
-4.628727,36.551984,JdA,9661,2019
-4.607421,36.561646,JdA,9662,2019
-6.267313,36.590168,JdA,9663,2019
-6.248897,36.588982,JdA,9664,2019
-6.216941,36.582131,JdA,9665,2019
-4.59863,36.58218,JdA,9666,2019
-4.568916,36.586691,JdA,9667,2019
-4.540177,36.589064,JdA,9668,2019
-4.518894,36.594733,JdA,9669,2019
-6.364025,36.622778,JdA,9670,2019
-6.336935,36.624928,JdA,9671,2019
-6.305673,36.621609,JdA,9672,2019
-6.276004,36.613411,JdA,9673,2019
-4.511189,36.613651,JdA,9674,2019
-4.491979,36.625007,JdA,9675,2019
-6.388792,36.643742,JdA,9676,2019
-6.367939,36.641347,JdA,9677,2019
-4.483785,36.645716,JdA,9678,2019
-6.414981,36.682915,JdA,9679,2019
-6.396212,36.672843,JdA,9680,2019
-4.477949,36.671349,JdA,9681,2019
